coddpto,codmun,dpto,mun
5,390,Antioquia,LA PINTADA
5,400,Antioquia,LA UNIÓN
5,411,Antioquia,LIBORINA
5,425,Antioquia,MACEO
5,440,Antioquia,MARINILLA
5,467,Antioquia,MONTEBELLO
5,475,Antioquia,MURINDÓ
5,480,Antioquia,MUTATÁ
5,483,Antioquia,NARIÑO
5,490,Antioquia,NECOCLÍ
5,495,Antioquia,NECHÍ
5,501,Antioquia,OLAYA
5,541,Antioquia,PEÑOL
5,543,Antioquia,PEQUE
5,576,Antioquia,PUEBLORRICO
5,579,Antioquia,PUERTO BERRIO BERRÍO 
5,585,Antioquia,PUERTO NARE 
5,591,Antioquia,PUERTO TRIUNFO 
5,604,Antioquia,REMEDIOS
5,607,Antioquia,RETIRO
5,615,Antioquia,RIONEGRO
5,628,Antioquia,SABANALARGA
5,631,Antioquia,SABANETA
5,642,Antioquia,SALGAR
5,647,Antioquia,SAN ANDRÉS 
5,649,Antioquia,SAN CARLOS 
5,652,Antioquia,SAN FRANCISCO 
5,656,Antioquia,SAN JERÓNIMO 
5,658,Antioquia,SAN JOSÉ DE LA MONTAÑA
5,659,Antioquia,SAN JUAN DE URABÁ 
5,660,Antioquia,SAN LUIS 
5,664,Antioquia,SAN PEDRO 
5,665,Antioquia,SAN PEDRO DE URABA 
5,667,Antioquia,SAN RAFAEL 
5,670,Antioquia,SAN ROQUE 
5,674,Antioquia,SAN VICENTE 
5,679,Antioquia,SANTA BÁRBARA 
5,686,Antioquia,SANTA ROSA DE OSOS 
5,690,Antioquia,SANTO DOMINGO 
5,697,Antioquia,EL SANTUARIO 
5,736,Antioquia,SEGOVIA
5,756,Antioquia,SONSON
5,761,Antioquia,SOPETRÁN
5,789,Antioquia,TÁMESIS
5,790,Antioquia,TARAZÁ
5,792,Antioquia,TARSO
5,809,Antioquia,TITIRIBÍ
5,819,Antioquia,TOLEDO
5,837,Antioquia,TURBO
5,842,Antioquia,URAMITA
5,847,Antioquia,URRAO
5,854,Antioquia,VALDIVIA
5,856,Antioquia,VALPARAÍSO
5,858,Antioquia,VEGACHÍ
5,861,Antioquia,VENECIA
5,873,Antioquia,VIGÍA DEL FUERTE
5,885,Antioquia,YALÍ
5,887,Antioquia,YARUMAL
5,890,Antioquia,YOLOMBÓ
5,893,Antioquia,YONDÓ
5,895,Antioquia,ZARAGOZA
8,1,Atlántico,BARRANQUILLA
8,78,Atlántico,BARANOA
8,137,Atlántico,CAMPO DE LA CRUZ 
8,141,Atlántico,CANDELARIA
8,296,Atlántico,GALAPA
8,372,Atlántico,JUAN DE ACOSTA
8,421,Atlántico,LURUACO
8,433,Atlántico,MALAMBO
8,436,Atlántico,MANATÍ
8,520,Atlántico,PALMAR DE VARELA
8,549,Atlántico,PIOJÓ
8,558,Atlántico,POLONUEVO
8,560,Atlántico,PONEDERA
8,573,Atlántico,PUERTO COLOMBIA 
8,606,Atlántico,REPELÓN
8,634,Atlántico,SABANAGRANDE
8,638,Atlántico,SABANALARGA
8,675,Atlántico,SANTA LUCÍA 
8,685,Atlántico,SANTO TOMÁS 
8,758,Atlántico,SOLEDAD
8,770,Atlántico,SUAN
8,832,Atlántico,TUBARÁ
8,849,Atlántico,USIACURÍ
11,1,Bogotá,D.C BOGOTÁ 
13,1,Bolívar,CARTAGENA
13,6,Bolívar,ACHÍ
13,30,Bolívar,ALTOS DEL ROSARIO
13,42,Bolívar,ARENAL
13,52,Bolívar,ARJONA
13,56,Bolívar,ARROYOGRANDE
13,62,Bolívar,ARROYOHONDO
13,74,Bolívar,BARRANCO DE LOBA
13,140,Bolívar,CALAMAR
13,160,Bolívar,CANTAGALLO
13,188,Bolívar,CICUCO
13,212,Bolívar,CÓRDOBA
13,222,Bolívar,CLEMENCIA
13,244,Bolívar,EL CARMEN DE BOLÍVAR 
13,248,Bolívar,EL GUAMO 
13,268,Bolívar,EL PEÑÓN 
13,300,Bolívar,HATILLO DE LOBA
13,430,Bolívar,MAGANGUÉ
13,433,Bolívar,MAHATES
13,440,Bolívar,MARGARITA
13,442,Bolívar,MARÍA LA BAJA
13,458,Bolívar,MONTECRISTO
13,468,Bolívar,MOMPÓS
13,473,Bolívar,MORALES
13,549,Bolívar,PINILLOS
13,580,Bolívar,REGIDOR
13,600,Bolívar,RÍO VIEJO 
13,620,Bolívar,SAN CRISTÓBAL 
13,647,Bolívar,SAN ESTANISLAO 
13,650,Bolívar,SAN FERNANDO 
13,654,Bolívar,SAN JACINTO 
13,655,Bolívar,SAN JACINTO DEL CAUCA 
13,657,Bolívar,SAN JUAN NEPOMUCENO
13,667,Bolívar,SAN MARTÍN DE LOBA 
13,670,Bolívar,SAN PABLO 
13,673,Bolívar,SANTA CATALINA 
13,683,Bolívar,SANTA ROSA 
13,688,Bolívar,SANTA ROSA DEL SUR 
13,744,Bolívar,SIMITÍ
13,760,Bolívar,SOPLAVIENTO
13,780,Bolívar,TALAIGUA NUEVO 
13,810,Bolívar,TIQUISIO
13,836,Bolívar,TURBACO
13,838,Bolívar,TURBANÁ
13,873,Bolívar,VILLANUEVA
13,894,Bolívar,ZAMBRANO
15,1,Boyacá,TUNJA
15,22,Boyacá,ALMEIDA
15,47,Boyacá,AQUITANIA
15,51,Boyacá,ARCABUCO
15,87,Boyacá,BELÉN
15,90,Boyacá,BERBEO
15,92,Boyacá,BETÉITIVA
15,97,Boyacá,BOAVITA
15,104,Boyacá,BOYACÁ
15,106,Boyacá,BRICEÑO
15,109,Boyacá,BUENAVISTA
15,114,Boyacá,BUSBANZÁ
15,131,Boyacá,CALDAS
15,135,Boyacá,CAMPOHERMOSO
15,162,Boyacá,CERINZA
15,172,Boyacá,CHINAVITA
15,176,Boyacá,CHIQUINQUIRÁ
15,180,Boyacá,CHISCAS
15,183,Boyacá,CHITA
15,185,Boyacá,CHITARAQUE
15,187,Boyacá,CHIVATÁ
15,189,Boyacá,CIÉNEGA
15,204,Boyacá,CÓMBITA
15,212,Boyacá,COPER
15,215,Boyacá,CORRALES
15,218,Boyacá,COVARACHÍA
15,223,Boyacá,CUBARÁ
15,224,Boyacá,CUCAITA
15,226,Boyacá,CUÍTIVA
15,232,Boyacá,CHÍQUIZA
15,236,Boyacá,CHIVOR
15,238,Boyacá,DUITAMA
15,244,Boyacá,EL COCUY 
15,248,Boyacá,EL ESPINO 
15,272,Boyacá,FIRAVITOBA
15,276,Boyacá,FLORESTA
15,293,Boyacá,GACHANTIVÁ
15,296,Boyacá,GAMEZA
15,299,Boyacá,GARAGOA
15,317,Boyacá,GUACAMAYAS
15,322,Boyacá,GUATEQUE
15,325,Boyacá,GUAYATÁ
15,332,Boyacá,GÜICÁN
15,362,Boyacá,IZA
15,367,Boyacá,JENESANO
15,368,Boyacá,JERICÓ
15,377,Boyacá,LABRANZAGRANDE
15,380,Boyacá,LA CAPILLA 
15,401,Boyacá,LA VICTORIA 
15,403,Boyacá,LA UVITA 
15,407,Boyacá,VILLA DE LEYVA
15,425,Boyacá,MACANAL
15,442,Boyacá,MARIPÍ
15,455,Boyacá,MIRAFLORES
15,464,Boyacá,MONGUA
15,466,Boyacá,MONGUÍ
15,469,Boyacá,MONIQUIRÁ
15,476,Boyacá,MOTAVITA
15,480,Boyacá,MUZO
15,491,Boyacá,NOBSA
15,494,Boyacá,NUEVO COLÓN 
15,500,Boyacá,OICATÁ
15,507,Boyacá,OTANCHE
15,511,Boyacá,PACHAVITA
15,514,Boyacá,PÁEZ
15,516,Boyacá,PAIPA
15,518,Boyacá,PAJARITO
15,522,Boyacá,PANQUEBA
15,531,Boyacá,PAUNA
15,533,Boyacá,PAYA
15,537,Boyacá,PAZ DE RÍO
15,542,Boyacá,PESCA
15,550,Boyacá,PISBA
15,572,Boyacá,PUERTO BOYACÁ 
15,580,Boyacá,QUÍPAMA
15,599,Boyacá,RAMIRIQUÍ
15,600,Boyacá,RÁQUIRA
15,621,Boyacá,RONDÓN
15,632,Boyacá,SABOYÁ
15,638,Boyacá,SÁCHICA
15,646,Boyacá,SAMACÁ
15,660,Boyacá,SAN EDUARDO 
15,664,Boyacá,SAN JOSÉ DE PARE 
15,667,Boyacá,SAN LUIS DE GACENO 
15,673,Boyacá,SAN MATEO 
15,676,Boyacá,SAN MIGUEL DE SEMA 
15,681,Boyacá,SAN PABLO DE BORBUR 
15,686,Boyacá,SANTANA
15,690,Boyacá,SANTA MARÍA 
15,693,Boyacá,SANTA ROSA DE VITERBO 
15,696,Boyacá,SANTA SOFÍA 
15,720,Boyacá,SATIVANORTE
15,723,Boyacá,SATIVASUR
15,740,Boyacá,SIACHOQUE
15,753,Boyacá,SOATÁ
15,755,Boyacá,SOCOTÁ
15,757,Boyacá,SOCHA
15,759,Boyacá,SOGAMOSO
15,761,Boyacá,SOMONDOCO
15,762,Boyacá,SORA
15,763,Boyacá,SOTAQUIRÁ
15,764,Boyacá,SORACÁ
15,774,Boyacá,SUSACÓN
15,776,Boyacá,SUTAMARCHÁN
15,778,Boyacá,SUTATENZA
15,790,Boyacá,TASCO
15,798,Boyacá,TENZA
15,804,Boyacá,TIBANÁ
15,806,Boyacá,TIBASOSA
15,808,Boyacá,TINJACÁ
15,810,Boyacá,TIPACOQUE
15,814,Boyacá,TOCA
15,816,Boyacá,TOGÜÍ
15,820,Boyacá,TÓPAGA
15,822,Boyacá,TOTA
15,832,Boyacá,TUNUNGUÁ
15,835,Boyacá,TURMEQUÉ
15,837,Boyacá,TUTA
15,839,Boyacá,TUTAZÁ
15,842,Boyacá,UMBITA
15,861,Boyacá,VENTAQUEMADA
15,879,Boyacá,VIRACACHÁ
15,897,Boyacá,ZETAQUIRA
17,1,Caldas,MANIZALES
17,13,Caldas,AGUADAS
17,42,Caldas,ANSERMA
17,50,Caldas,ARANZAZU
17,88,Caldas,BELALCÁZAR
17,174,Caldas,CHINCHINÁ
17,272,Caldas,FILADELFIA
17,380,Caldas,LA DORADA 
17,388,Caldas,LA MERCED 
17,433,Caldas,MANZANARES
17,442,Caldas,MARMATO
17,444,Caldas,MARQUETALIA
17,446,Caldas,MARULANDA
17,486,Caldas,NEIRA
17,495,Caldas,NORCASIA
17,513,Caldas,PÁCORA
17,524,Caldas,PALESTINA
17,541,Caldas,PENSILVANIA
17,614,Caldas,RIOSUCIO
17,616,Caldas,RISARALDA
17,653,Caldas,SALAMINA
17,662,Caldas,SAMANÁ
17,665,Caldas,SAN JOSÉ 
17,777,Caldas,SUPÍA
17,867,Caldas,VICTORIA
17,873,Caldas,VILLAMARÍA
17,877,Caldas,VITERBO
18,1,Caquetá,FLORENCIA
18,29,Caquetá,ALBANIA
18,94,Caquetá,BELÉN DE LOS ANDAQUIES 
18,150,Caquetá,CARTAGENA DEL CHAIRÁ
18,205,Caquetá,CURILLO
18,247,Caquetá,EL DONCELLO 
18,256,Caquetá,EL PAUJIL 
18,410,Caquetá,LA MONTAÑITA 
18,460,Caquetá,MILÁN
18,479,Caquetá,MORELIA
18,592,Caquetá,PUERTO RICO 
18,610,Caquetá,SAN JOSÉ DEL FRAGUA 
18,753,Caquetá,SAN VICENTE DEL CAGUÁN 
18,756,Caquetá,SOLANO
18,785,Caquetá,SOLITA
18,860,Caquetá,VALPARAÍSO
19,1,Cauca,POPAYÁN
19,22,Cauca,ALMAGUER
19,50,Cauca,ARGELIA
19,75,Cauca,BALBOA
19,100,Cauca,BOLÍVAR
19,110,Cauca,BUENOS AIRES 
19,130,Cauca,CAJIBÍO
19,137,Cauca,CALDONO
19,142,Cauca,CALOTO
19,212,Cauca,CORINTO
19,256,Cauca,EL TAMBO 
19,290,Cauca,FLORENCIA
19,318,Cauca,GUAPI
19,355,Cauca,INZÁ
19,364,Cauca,JAMBALÓ
19,392,Cauca,LA SIERRA 
19,397,Cauca,LA VEGA 
19,418,Cauca,LÓPEZ
19,450,Cauca,MERCADERES
19,455,Cauca,MIRANDA
19,473,Cauca,MORALES
19,513,Cauca,PADILLA
19,517,Cauca,PÁEZ
19,532,Cauca,PATÍA
19,533,Cauca,PIAMONTE
19,548,Cauca,PIENDAMÓ
19,573,Cauca,PUERTO TEJADA 
19,585,Cauca,PURACÉ
19,622,Cauca,ROSAS
19,693,Cauca,SAN SEBASTIÁN 
19,698,Cauca,SANTANDER DE QUILICHAO
19,701,Cauca,SANTA ROSA 
19,743,Cauca,SILVIA
19,760,Cauca,SOTARA
19,780,Cauca,SUÁREZ
19,785,Cauca,SUCRE
19,807,Cauca,TIMBÍO
19,809,Cauca,TIMBIQUÍ
19,821,Cauca,TORIBIO
19,824,Cauca,TOTORÓ
19,845,Cauca,VILLA RICA 
20,1,Cesar,VALLEDUPAR
20,11,Cesar,AGUACHICA
20,13,Cesar,AGUSTÍN CODAZZI 
20,32,Cesar,ASTREA
20,45,Cesar,BECERRIL
20,60,Cesar,BOSCONIA
20,175,Cesar,CHIMICHAGUA
20,178,Cesar,CHIRIGUANÁ
20,228,Cesar,CURUMANÍ
20,238,Cesar,EL COPEY 
20,250,Cesar,EL PASO 
20,295,Cesar,GAMARRA
20,310,Cesar,GONZÁLEZ
20,383,Cesar,LA GLORIA 
20,400,Cesar,LA JAGUA DE IBIRICO 
20,443,Cesar,MANAURE
20,517,Cesar,PAILITAS
20,550,Cesar,PELAYA
20,570,Cesar,PUEBLO BELLO 
20,614,Cesar,RÍO DE ORO
20,621,Cesar,LA PAZ 
20,710,Cesar,SAN ALBERTO 
20,750,Cesar,SAN DIEGO 
20,770,Cesar,SAN MARTÍN 
20,787,Cesar,TAMALAMEQUE
23,1,Córdoba,MONTERÍA
23,68,Córdoba,AYAPEL
23,79,Córdoba,BUENAVISTA
23,90,Córdoba,CANALETE
23,162,Córdoba,CERETÉ
23,168,Córdoba,CHIMÁ
23,182,Córdoba,CHINÚ
23,189,Córdoba,CIÉNAGA DE ORO
23,300,Córdoba,COTORRA
23,350,Córdoba,LA APARTADA 
23,417,Córdoba,LORICA
23,419,Córdoba,LOS CÓRDOBAS 
23,464,Córdoba,MOMIL
23,466,Córdoba,MONTELÍBANO
23,500,Córdoba,MOÑITOS
23,555,Córdoba,PLANETA RICA 
23,570,Córdoba,PUEBLO NUEVO 
23,574,Córdoba,PUERTO ESCONDIDO 
23,580,Córdoba,PUERTO LIBERTADOR 
23,586,Córdoba,PURÍSIMA
23,660,Córdoba,SAHAGÚN
23,670,Córdoba,SAN ANDRÉS SOTAVENTO
23,672,Córdoba,SAN ANTERO 
23,675,Córdoba,SAN BERNARDO DEL VIENTO 
23,678,Córdoba,SAN CARLOS 
23,686,Córdoba,SAN PELAYO 
23,807,Córdoba,TIERRALTA
23,855,Córdoba,VALENCIA
25,1,Cundinamarca,AGUA DE DIOS
25,19,Cundinamarca,ALBÁN
25,35,Cundinamarca,ANAPOIMA
25,40,Cundinamarca,ANOLAIMA
25,53,Cundinamarca,ARBELÁEZ
25,86,Cundinamarca,BELTRÁN
25,95,Cundinamarca,BITUIMA
25,99,Cundinamarca,BOJACÁ
25,120,Cundinamarca,CABRERA
25,123,Cundinamarca,CACHIPAY
25,126,Cundinamarca,CAJICÁ
25,148,Cundinamarca,CAPARRAPÍ
25,151,Cundinamarca,CAQUEZA
25,154,Cundinamarca,CARMEN DE CARUPA
25,168,Cundinamarca,CHAGUANÍ
25,175,Cundinamarca,CHÍA
25,178,Cundinamarca,CHIPAQUE
25,181,Cundinamarca,CHOACHÍ
25,183,Cundinamarca,CHOCONTÁ
25,200,Cundinamarca,COGUA
25,214,Cundinamarca,COTA
25,224,Cundinamarca,CUCUNUBÁ
25,245,Cundinamarca,EL COLEGIO 
25,258,Cundinamarca,EL PEÑÓN 
25,260,Cundinamarca,EL ROSAL 
25,269,Cundinamarca,FACATATIVÁ
25,279,Cundinamarca,FOMEQUE
25,281,Cundinamarca,FOSCA
25,286,Cundinamarca,FUNZA
25,288,Cundinamarca,FÚQUENE
25,290,Cundinamarca,FUSAGASUGÁ
25,293,Cundinamarca,GACHALA
25,295,Cundinamarca,GACHANCIPÁ
25,297,Cundinamarca,GACHETÁ
25,299,Cundinamarca,GAMA
25,307,Cundinamarca,GIRARDOT
25,312,Cundinamarca,GRANADA
25,317,Cundinamarca,GUACHETÁ
25,320,Cundinamarca,GUADUAS
25,322,Cundinamarca,GUASCA
25,324,Cundinamarca,GUATAQUÍ
25,326,Cundinamarca,GUATAVITA
25,328,Cundinamarca,GUAYABAL DE SIQUIMA
25,335,Cundinamarca,GUAYABETAL
25,339,Cundinamarca,GUTIÉRREZ
25,368,Cundinamarca,JERUSALÉN
25,372,Cundinamarca,JUNÍN
25,377,Cundinamarca,LA CALERA 
25,386,Cundinamarca,LA MESA 
25,394,Cundinamarca,LA PALMA 
25,398,Cundinamarca,LA PEÑA 
25,402,Cundinamarca,LA VEGA 
25,407,Cundinamarca,LENGUAZAQUE
25,426,Cundinamarca,MACHETA
25,430,Cundinamarca,MADRID
25,436,Cundinamarca,MANTA
25,438,Cundinamarca,MEDINA
25,473,Cundinamarca,MOSQUERA
25,483,Cundinamarca,NARIÑO
25,486,Cundinamarca,NEMOCÓN
25,488,Cundinamarca,NILO
25,489,Cundinamarca,NIMAIMA
25,491,Cundinamarca,NOCAIMA
25,506,Cundinamarca,VENECIA
25,513,Cundinamarca,PACHO
25,518,Cundinamarca,PAIME
25,524,Cundinamarca,PANDI
25,530,Cundinamarca,PARATEBUENO
25,535,Cundinamarca,PASCA
25,572,Cundinamarca,PUERTO SALGAR 
25,580,Cundinamarca,PULÍ
25,592,Cundinamarca,QUEBRADANEGRA
25,594,Cundinamarca,QUETAME
25,596,Cundinamarca,QUIPILE
25,599,Cundinamarca,APULO
25,612,Cundinamarca,RICAURTE
25,645,Cundinamarca,SAN ANTONIO DEL TEQUENDAMA 
25,649,Cundinamarca,SAN BERNARDO 
25,653,Cundinamarca,SAN CAYETANO 
25,658,Cundinamarca,SAN FRANCISCO 
25,662,Cundinamarca,SAN JUAN DE RÍO SECO
25,718,Cundinamarca,SASAIMA
25,736,Cundinamarca,SESQUILÉ
25,740,Cundinamarca,SIBATÉ
25,743,Cundinamarca,SILVANIA
25,745,Cundinamarca,SIMIJACA
25,754,Cundinamarca,SOACHA
25,758,Cundinamarca,SOPÓ
25,769,Cundinamarca,SUBACHOQUE
25,772,Cundinamarca,SUESCA
25,777,Cundinamarca,SUPATÁ
25,779,Cundinamarca,SUSA
25,781,Cundinamarca,SUTATAUSA
25,785,Cundinamarca,TABIO
25,793,Cundinamarca,TAUSA
25,797,Cundinamarca,TENA
25,799,Cundinamarca,TENJO
25,805,Cundinamarca,TIBACUY
25,807,Cundinamarca,TIBIRITA
25,815,Cundinamarca,TOCAIMA
25,817,Cundinamarca,TOCANCIPÁ
25,823,Cundinamarca,TOPAIPÍ
25,839,Cundinamarca,UBALÁ
25,841,Cundinamarca,UBAQUE
25,843,Cundinamarca,VILLA DE SAN DIEGO DE UBATE 
25,845,Cundinamarca,UNE
25,851,Cundinamarca,ÚTICA
25,862,Cundinamarca,VERGARA
25,867,Cundinamarca,VIANÍ
25,871,Cundinamarca,VILLAGÓMEZ
25,873,Cundinamarca,VILLAPINZÓN
25,875,Cundinamarca,VILLETA
25,878,Cundinamarca,VIOTÁ
25,885,Cundinamarca,YACOPÍ
25,898,Cundinamarca,ZIPACÓN
25,899,Cundinamarca,ZIPAQUIRÁ
27,1,Chocó,QUIBDÓ
27,6,Chocó,ACANDÍ
27,25,Chocó,ALTO BAUDO 
27,50,Chocó,ATRATO
27,73,Chocó,BAGADÓ
27,75,Chocó,BAHÍA SOLANO 
27,77,Chocó,BAJO BAUDÓ 
27,86,Chocó,BELÉN DE BAJIRÁ
27,99,Chocó,BOJAYA
27,135,Chocó,EL CANTÓN DEL SAN PABLO
27,150,Chocó,CARMEN DEL DARIEN
27,160,Chocó,CÉRTEGUI
27,205,Chocó,CONDOTO
27,245,Chocó,EL CARMEN DE ATRATO 
27,250,Chocó,EL LITORAL DEL SAN JUAN
27,361,Chocó,ISTMINA
27,372,Chocó,JURADÓ
27,413,Chocó,LLORÓ
27,425,Chocó,MEDIO ATRATO 
27,430,Chocó,MEDIO BAUDÓ 
27,450,Chocó,MEDIO SAN JUAN
27,491,Chocó,NÓVITA
27,495,Chocó,NUQUÍ
27,580,Chocó,RÍO IRO 
27,600,Chocó,RÍO QUITO 
27,615,Chocó,RIOSUCIO
27,660,Chocó,SAN JOSÉ DEL PALMAR 
27,745,Chocó,SIPÍ
27,787,Chocó,TADÓ
27,800,Chocó,UNGUÍA
27,810,Chocó,UNIÓN PANAMERICANA 
41,1,Huila,NEIVA
41,6,Huila,ACEVEDO
41,13,Huila,AGRADO
41,16,Huila,AIPE
41,20,Huila,ALGECIRAS
41,26,Huila,ALTAMIRA
41,78,Huila,BARAYA
41,132,Huila,CAMPOALEGRE
41,206,Huila,COLOMBIA
41,244,Huila,ELÍAS
41,298,Huila,GARZÓN
41,306,Huila,GIGANTE
41,319,Huila,GUADALUPE
41,349,Huila,HOBO
41,357,Huila,IQUIRA
41,359,Huila,ISNOS
41,378,Huila,LA ARGENTINA 
41,396,Huila,LA PLATA 
41,483,Huila,NÁTAGA
41,503,Huila,OPORAPA
41,518,Huila,PAICOL
41,524,Huila,PALERMO
41,530,Huila,PALESTINA
41,548,Huila,PITAL
41,551,Huila,PITALITO
41,615,Huila,RIVERA
41,660,Huila,SALADOBLANCO
41,668,Huila,SAN AGUSTÍN 
41,676,Huila,SANTA MARÍA 
41,770,Huila,SUAZA
41,791,Huila,TARQUI
41,797,Huila,TESALIA
41,799,Huila,TELLO
41,801,Huila,TERUEL
41,807,Huila,TIMANÁ
41,872,Huila,VILLAVIEJA
41,885,Huila,YAGUARÁ
44,1,La Guajira,RIOHACHA 
44,35,La Guajira,ALBANIA 
44,78,La Guajira,BARRANCAS 
44,90,La Guajira,DIBULLA 
44,98,La Guajira,DISTRACCIÓN 
44,110,La Guajira,EL MOLINO
44,279,La Guajira,FONSECA 
44,378,La Guajira,HATONUEVO 
44,420,La Guajira,LA JAGUA DEL PILAR
44,430,La Guajira,MAICAO 
44,560,La Guajira,MANAURE 
44,650,La Guajira,SAN JUAN DEL CESAR
44,847,La Guajira,URIBIA 
44,855,La Guajira,URUMITA 
44,874,La Guajira,VILLANUEVA 
47,1,Magdalena,SANTA MARTA 
47,30,Magdalena,ALGARROBO
47,53,Magdalena,ARACATACA
47,58,Magdalena,ARIGUANÍ
47,161,Magdalena,CERRO SAN ANTONIO
47,170,Magdalena,CHIBOLO
47,189,Magdalena,CIÉNAGA
47,205,Magdalena,CONCORDIA
47,245,Magdalena,EL BANCO 
47,258,Magdalena,EL PIÑON 
47,268,Magdalena,EL RETÉN 
47,288,Magdalena,FUNDACIÓN
47,318,Magdalena,GUAMAL
47,460,Magdalena,NUEVA GRANADA 
47,541,Magdalena,PEDRAZA
47,545,Magdalena,PIJIÑO DEL CARMEN
47,551,Magdalena,PIVIJAY
47,555,Magdalena,PLATO
47,570,Magdalena,PUEBLOVIEJO
47,605,Magdalena,REMOLINO
47,660,Magdalena,SABANAS DE SAN ÁNGEL 
47,675,Magdalena,SALAMINA
47,692,Magdalena,SAN SEBASTIÁN DE BUENAVISTA 
47,703,Magdalena,SAN ZENÓN 
47,707,Magdalena,SANTA ANA 
47,720,Magdalena,SANTA BÁRBARA DE PINTO 
47,745,Magdalena,SITIONUEVO
47,798,Magdalena,TENERIFE
47,960,Magdalena,ZAPAYÁN
47,980,Magdalena,ZONA BANANERA 
50,1,Meta,VILLAVICENCIO
50,6,Meta,ACACÍAS
50,110,Meta,BARRANCA DE UPÍA
50,124,Meta,CABUYARO
50,150,Meta,CASTILLA LA NUEVA
50,223,Meta,CUBARRAL
50,226,Meta,CUMARAL
50,245,Meta,EL CALVARIO 
50,251,Meta,EL CASTILLO 
50,270,Meta,EL DORADO 
50,287,Meta,FUENTE DE ORO
50,313,Meta,GRANADA
50,318,Meta,GUAMAL
50,325,Meta,MAPIRIPÁN
50,330,Meta,MESETAS
50,350,Meta,LA MACARENA 
50,370,Meta,URIBE
50,400,Meta,LEJANÍAS
50,450,Meta,PUERTO CONCORDIA 
50,568,Meta,PUERTO GAITÁN 
50,573,Meta,PUERTO LÓPEZ 
50,577,Meta,PUERTO LLERAS 
50,590,Meta,PUERTO RICO 
50,606,Meta,RESTREPO
50,680,Meta,SAN CARLOS DE GUAROA 
50,683,Meta,SAN JUAN DE ARAMA 
50,686,Meta,SAN JUANITO 
50,689,Meta,SAN MARTÍN 
50,711,Meta,VISTAHERMOSA
52,1,Nariño,PASTO
52,19,Nariño,ALBÁN
52,22,Nariño,ALDANA
52,36,Nariño,ANCUYÁ
52,51,Nariño,ARBOLEDA
52,79,Nariño,BARBACOAS
52,83,Nariño,BELÉN
52,110,Nariño,BUESACO
52,203,Nariño,COLÓN
52,207,Nariño,CONSACA
52,210,Nariño,CONTADERO
52,215,Nariño,CÓRDOBA
52,224,Nariño,CUASPUD
52,227,Nariño,CUMBAL
52,233,Nariño,CUMBITARA
52,240,Nariño,CHACHAGÜÍ
52,250,Nariño,EL CHARCO 
52,254,Nariño,EL PEÑOL 
52,256,Nariño,EL ROSARIO 
52,258,Nariño,EL TABLÓN DE GÓMEZ 
52,260,Nariño,EL TAMBO 
52,287,Nariño,FUNES
52,317,Nariño,GUACHUCAL
52,320,Nariño,GUAITARILLA
52,323,Nariño,GUALMATÁN
52,352,Nariño,ILES
52,354,Nariño,IMUÉS
52,356,Nariño,IPIALES
52,378,Nariño,LA CRUZ 
